Date,EPS
12/31/22,1.77
9/30/22,1.64
6/30/22,2.46
3/31/22,2.72
12/31/21,3.64
9/30/21,3.22
6/30/21,3.61
3/31/21,3.3
12/31/20,3.87
9/30/20,2.71
6/30/20,1.8
3/31/20,1.71
12/31/19,2.55
9/30/19,2.12
6/30/19,0.91
3/31/19,0.85
12/31/18,2.38
9/30/18,1.76
6/30/18,1.74
3/31/18,1.69
12/31/17,1.44
9/30/17,1.59
6/30/17,1.32
3/31/17,1.04
12/31/16,1.21
9/30/16,0.9
6/30/16,0.78
3/31/16,0.6
12/31/15,0.55
9/30/15,0.31
6/30/15,0.25
3/31/15,0.18
12/31/14,0.25
9/30/14,0.3
6/30/14,0.3
3/31/14,0.25
12/31/13,0.21
9/30/13,0.17
6/30/13,0.13
3/31/13,0.09
12/31/12,0.03
9/30/12,-0.02
6/30/12,-0.08
3/31/12,0.09
12/31/11,0.14
9/30/11,0.1
6/30/11,0.11
3/31/11,0.11
12/31/10,0.0
9/30/10,0.0
6/30/10,0.0
3/31/10,0.0
12/31/09,0.0
